customer_id,price,product_name,order_date,join_date,membership,ranking
A,10,sushi,1/1/2021,1/7/2021,NOT MEMBER,1
A,15,curry,1/1/2021,1/7/2021,NOT MEMBER,1
A,15,curry,1/7/2021,1/7/2021,MEMBER,3
A,12,ramen,1/10/2021,1/7/2021,MEMBER,4
A,12,ramen,1/11/2021,1/7/2021,MEMBER,5
A,12,ramen,1/11/2021,1/7/2021,MEMBER,5
B,15,curry,1/1/2021,1/9/2021,NOT MEMBER,1
B,15,curry,1/2/2021,1/9/2021,NOT MEMBER,2
B,10,sushi,1/4/2021,1/9/2021,NOT MEMBER,3
B,10,sushi,1/11/2021,1/9/2021,MEMBER,4
B,12,ramen,1/16/2021,1/9/2021,MEMBER,5
B,12,ramen,2/1/2021,1/9/2021,MEMBER,6
C,12,ramen,1/1/2021,NULL,NEVER JOIN MEMBERSHIP,NULL
C,12,ramen,1/1/2021,NULL,NEVER JOIN MEMBERSHIP,NULL
C,12,ramen,1/7/2021,NULL,NEVER JOIN MEMBERSHIP,NULL
